ID,Absolute_abundance,Group,Abs_Gr
SX30,0.713197522,100_101,A
SX39,0.727498805,100_101,A
MH122,0.841457953,100_101,A
SX24,1.160412517,100_101,A
MH116,1.460783142,100_101,A
MH118,1.508594945,100_101,A
SX33,2.167700681,100_101,A
SX67,2.210085015,100_101,A
SX74,2.351758557,100_101,A
SX71,2.422273331,100_101,A
SX76,2.815629232,100_101,A
SX22,3.585333284,100_101,A
MH117,4.393248145,100_101,A
SX88,5.0862053,100_101,A
SX32,5.254547629,100_101,A
SX17,5.666297928,100_101,A
SX31,5.818508833,100_101,A
MH108,6.054080084,100_101,A
SX26,6.398332313,100_101,A
SX35,7.220165338,100_101,A
SX37,8.46953514,100_101,A
SX51,8.469951779,100_101,A
SX79,8.806951297,100_101,A
MH124,9.469021706,100_101,A
SX53,9.914400099,100_101,A
SX61,9.948224816,100_101,A
SX14,10.93371772,101_102,B
SX27,16.13543362,101_102,B
SX68,18.00175997,101_102,B
SX38,18.55181498,101_102,B
MH107,24.9486393,101_102,B
SX60,25.16700831,101_102,B
MH109,28.40658558,101_102,B
SX1,29.36300514,101_102,B
SX70,30.83704343,101_102,B
SX20,34.82706344,101_102,B
SX69,35.22690325,101_102,B
SX25,37.84241619,101_102,B
SX82,39.28891202,101_102,B
SX6,44.41536503,101_102,B
SX46,44.63918102,101_102,B
SX29,45.58517673,101_102,B
SX34,46.26657432,101_102,B
SX78,48.65997107,101_102,B
SX16,50.78414068,101_102,B
SX57,51.42197466,101_102,B
SX23,58.66582824,101_102,B
SX104,59.56572019,101_102,B
SX36,60.57872208,101_102,B
SX48,61.61332287,101_102,B
SX65,62.62438267,101_102,B
SX83,64.34866693,101_102,B
SX12,69.9481761,101_102,B
SX18,71.22319895,101_102,B
SX8,74.58244761,101_102,B
SX4,77.02472105,101_102,B
SX47,77.78012485,101_102,B
SX58,81.08628042,101_102,B
MH106,86.8342541,101_102,B
SX40,87.87957651,101_102,B
SX102,89.97638501,101_102,B
SX52,93.07818368,101_102,B
SX62,93.88560121,101_102,B
SX9,111.4057846,102_103,C
SX64,113.3367208,102_103,C
SX89,121.0284762,102_103,C
SX2,123.5440194,102_103,C
SX77,131.5566602,102_103,C
MH115,133.0115024,102_103,C
SX103,143.2690739,102_103,C
SX91,154.0583913,102_103,C
SX44,156.0074948,102_103,C
MH112,158.6808311,102_103,C
MH130,167.1781342,102_103,C
SX80,181.4882341,102_103,C
SX63,184.5641749,102_103,C
SX28,186.3679797,102_103,C
SX98,192.3669943,102_103,C
SX97,196.6741915,102_103,C
SX55,204.3987191,102_103,C
SX56,210.2844568,102_103,C
MH120,215.3977055,102_103,C
SX41,219.8775862,102_103,C
SX75,225.5448384,102_103,C
SX90,228.2104619,102_103,C
MH111,228.8120698,102_103,C
SX95,230.2941146,102_103,C
SX13,231.3453907,102_103,C
MH126,244.6217373,102_103,C
MH110,263.7400195,102_103,C
SX10,263.8147474,102_103,C
SX5,272.4272046,102_103,C
SX7,280.7411807,102_103,C
SX19,290.8688316,102_103,C
SX100,298.187066,102_103,C
MH132,306.6868186,102_103,C
SX59,320.151491,102_103,C
SX49,326.6178404,102_103,C
SX3,336.4524678,102_103,C
MH114,408.2120685,102_103,C
SX43,418.3215703,102_103,C
SX45,423.5764061,102_103,C
MH113,486.3452377,102_103,C
MH127,540.5285837,102_103,C
SX73,554.1923199,102_103,C
MH128,586.8808435,102_103,C
SX42,716.3320825,102_103,C
MH125,731.506343,102_103,C
SX96,821.2943752,102_103,C
SX85,858.1269104,102_103,C
SX94,878.6764835,102_103,C
SX50,1095.914391,103_106,D
SX81,1180.358919,103_106,D
SX99,1310.268943,103_106,D
MH121,1367.46727,103_106,D
SX87,1708.693236,103_106,D
SX101,1803.343042,103_106,D
SX86,1827.252611,103_106,D
SX54,3099.093443,103_106,D
MH129,3109.78589,103_106,D
SX92,4127.293887,103_106,D
MH119,5013.830182,103_106,D
MH131,19671.03758,103_106,D
SX93,20833.67203,103_106,D
SX66,29983.04341,103_106,D
SX84,78679.4207,103_106,D
