ID,parasite_load_gr1,parasite_load_gr2
SX30,Q1,Q1
SX39,Q1,Q1
MH122,Q1,Q1
SX24,Q1,Q1
MH116,Q1,Q1
MH118,Q1,Q1
SX33,Q1,Q1
SX67,Q1,Q1
SX74,Q1,Q1
SX71,Q1,Q1
SX76,Q1,Q1
SX22,Q1,Q1
MH117,Q1,Q1
SX88,Q1,Q1
SX32,Q1,Q1
SX17,Q1,Q1
SX31,Q1,Q1
MH108,Q1,Q1
SX26,Q1,Q1
SX35,Q1,Q1
SX37,Q1,Q1
SX51,Q1,Q1
SX79,Q1,Q1
MH124,Q1,Q1
SX53,Q1,Q1
SX61,Q1,Q1
SX14,Q2,Q1
SX27,Q2,Q1
SX68,Q2,Q1
SX38,Q2,Q1
MH107,Q2,Q1
SX60,Q2,Q1
MH109,Q2,Q1
SX1,Q2,Q1
SX70,Q2,Q1
SX20,Q2,Q2
SX69,Q2,Q2
SX25,Q2,Q2
SX82,Q2,Q2
SX6,Q2,Q2
SX46,Q2,Q2
SX29,Q2,Q2
SX34,Q2,Q2
SX78,Q2,Q2
SX16,Q2,Q2
SX57,Q2,Q2
SX23,Q2,Q2
SX104,Q2,Q2
SX36,Q2,Q2
SX48,Q2,Q2
SX65,Q2,Q2
SX83,Q2,Q2
SX12,Q2,Q2
SX18,Q2,Q2
SX8,Q2,Q2
SX4,Q2,Q2
SX47,Q2,Q2
SX58,Q2,Q2
MH106,Q2,Q2
SX40,Q2,Q2
SX102,Q2,Q2
SX52,Q2,Q2
SX62,Q2,Q2
SX9,Q3,Q2
SX64,Q3,Q2
SX89,Q3,Q2
SX2,Q3,Q2
SX77,Q3,Q2
MH115,Q3,Q2
SX103,Q3,Q2
SX91,Q3,Q2
SX44,Q3,Q2
MH112,Q3,Q2
MH130,Q3,Q2
SX80,Q3,Q2
SX63,Q3,Q2
SX28,Q3,Q2
SX98,Q3,Q2
SX97,Q3,Q2
SX55,Q3,Q2
SX56,Q3,Q2
MH120,Q3,Q2
SX41,Q3,Q2
SX75,Q3,Q2
SX90,Q3,Q2
MH111,Q3,Q2
SX95,Q3,Q2
SX13,Q3,Q2
MH126,Q3,Q2
MH110,Q3,Q2
SX10,Q3,Q2
SX5,Q3,Q2
SX7,Q3,Q2
SX19,Q3,Q2
SX100,Q3,Q2
MH132,Q3,Q2
SX59,Q3,Q3
SX49,Q3,Q3
SX3,Q3,Q3
MH114,Q3,Q3
SX43,Q3,Q3
SX45,Q3,Q3
MH113,Q3,Q3
MH127,Q3,Q3
SX73,Q3,Q3
MH128,Q3,Q3
SX42,Q3,Q3
MH125,Q3,Q3
SX96,Q3,Q3
SX85,Q3,Q3
SX94,Q3,Q3
SX50,Q3,Q3
SX81,Q3,Q3
SX99,Q3,Q3
MH121,Q3,Q3
SX87,Q3,Q3
SX101,Q3,Q3
SX86,Q3,Q3
SX54,Q3,Q3
MH129,Q3,Q3
SX92,Q3,Q3
MH119,Q3,Q3
MH131,Q3,Q3
SX93,Q3,Q3
SX66,Q3,Q3
SX84,Q3,Q3
