ID,cage_number,monkey_number,sex,species,age,weight,height,bmi,pregnant,lactation,diarrhea,CT_value,parasite_load,sub_type,identity,batch,info,class
SX1,G165-SX,11,male,mfas,10,3.9,0.5,15.6,No,No,No,25.92460632,5.872601029,ST1,0.9981,1,non,positive
SX2,G35-SX,161037,male,mfas,5,6,0.43,32.45,No,No,No,24.17297363,24.70880388,ST3,0.9964,1,non,positive
SX3,G27-SX,1104621,male,mfas,10,7.5,0.5,30,No,No,No,22.32577896,67.29049356,ST1,0.9701,1,non,positive
SX4,G6-SX,1412065,male,mfas,7,5.7,0.43,30.827,No,No,No,24.12865067,15.40494421,ST3,0.9893,1,non,positive
SX5,G159-SX,NA,male,mfas,7,6.4,0.43,34.613,No,No,No,23.53472519,54.48544093,ST1,1,1,non,positive
SX6,G170-SX,11,male,mfas,10,3.9,0.5,15.6,No,No,No,26.11148453,8.883073007,ST3,0.9945,1,non,positive
SX7,G1-SX,1301209,male,mfas,8,7,0.5,28,No,No,No,22.28708267,56.14823615,ST1,0.9796,1,non,positive
SX8,G36-SX,14,male,mfas,7,5.3,0.43,28.664,No,No,No,23.76742935,14.91648952,ST3,0.9945,1,non,positive
SX9,G2-133,Y0604089,male,mfas,16,7.8,0.5,31.2,No,No,No,24.06490898,22.28115692,ST1,0.9981,2,non,positive
SX10,G2-118,1212219,male,mfas,10,8.8,0.5,35.2,No,No,No,21.51004791,52.76294949,ST1,0.9982,2,non,positive
SX11,G1-58,NA,female,mfas,0.5,1.2,0.22,24.793,No,No,No,NA,NA,ST1,0.9981,2,unsequencing,positive
SX12,G3-14,14300,female,mfas,8,4.3,0.46,20.321,No,Yes,No,24.47041512,13.98963522,ST1,0.9981,2,non,positive
SX13,G3-4,13342,female,mfas,9,4.3,0.46,20.321,No,No,No,21.65085602,46.26907815,ST1,1,2,non,positive
SX14,G3-10,1300304,female,mfas,12,4.2,0.46,19.849,No,Yes,No,29.25839424,2.186743544,ST3,0.9966,2,non,positive
SX15,G42-SX,NA,male,mfas,10,6.8,0.5,27.2,No,No,No,29.8134079,0.735399429,ST1,0.9764,1,non,positive
SX16,G2-152,161037,male,mfas,11,8,0.5,32,No,No,No,24.679245,10.15682814,ST1,0.9857,2,non,positive
SX17,G3-5,8314,female,mfas,14,5.9,0.46,27.883,No,Yes,No,28.80890656,1.133259586,ST3,0.9798,2,non,positive
SX18,G3-21,6300,female,mfas,16,4.8,0.46,22.684,No,No,No,25.33878326,14.24463979,ST3,0.9865,2,non,positive
SX19,1.1.8,1103639,male,mfas,11,3.3,0.5,13.2,No,No,No,24.12443542,58.17376632,ST3,0.9899,2,non,positive
SX20,G3-16sx,4300,female,mfas,18,5.2,0.46,24.575,No,Yes,No,26.61917877,6.965412689,ST3,0.9899,2,non,positive
SX21,G3-8,130158,female,mfas,9,4.9,0.46,23.157,No,Yes,No,31.5599575,0.063432529,ST3,0.9556,2,non,positive
SX22,J1-51,18349,male,mfas,3,2.6,0.33,23.875,No,No,No,29.75260353,0.717066657,ST3,0.9982,1,non,positive
SX23,J2-33,15300,female,mfas,6,3.15,0.4,19.687,No,No,No,25.72579193,11.73316565,ST1,0.9721,1,non,positive
SX24,J1-14,170065,male,mfas,4,4.7,0.43,25.419,No,No,No,30.72906876,0.232082503,ST3,0.9564,1,non,positive
SX25,J2-1-2,17337,male,mfas,4,2.2,0.43,11.898,No,No,No,24.81312561,7.568483237,ST3,0.9964,1,non,positive
SX26,J2-45-1,18412,female,mfas,3,2.4,0.3,26.667,No,No,No,28.30208778,1.279666463,ST3,0.928,1,non,positive
SX27,J2-49,18374,female,mfas,3,2.4,0.3,26.667,No,No,No,27.54914665,3.227086724,ST3,0.9945,1,non,positive
SX28,J1-25,180115,male,mfas,3,3.8,0.33,34.894,No,No,No,25.94692612,37.27359595,ST3,0.9909,1,non,positive
SX29,J2-27-1,17324,female,mfas,4,2.9,0.4,18.125,No,No,No,23.91487694,9.117035345,ST3,0.9964,1,non,positive
SX30,J2-41-1,18356,female,mfas,3,2.6,0.3,28.889,No,No,No,30.56019402,0.142639504,ST3,0.9964,1,non,positive
SX31,J2-4-1,18321,male,mfas,3,2.3,0.33,21.12,No,No,No,27.78034973,1.163701767,ST3,0.9928,1,non,positive
SX32,J2-31-1,15306,female,mfas,6,3,0.4,18.75,No,No,No,29.86639786,1.050909526,ST3,0.9564,1,non,positive
SX33,J1-12,160037,male,mfas,5,4.9,0.43,26.501,No,No,No,29.06986618,0.433540136,ST3,0.9964,1,non,positive
SX34,J1-60-2,16329,male,mfas,5,3.5,0.43,18.929,No,No,No,25.1674881,9.253314865,ST3,0.9647,1,non,positive
SX35,J1-20,1701067,male,mfas,4,5.6,0.43,30.287,No,No,No,27.32175827,1.444033068,ST3,0.9945,1,non,positive
SX36,J1-47-1,18387,male,mfas,3,3.1,0.33,28.466,No,No,No,24.26422119,12.11574442,ST3,0.9946,1,non,positive
SX37,J1-41,170115,male,mfas,4,7.2,0.43,38.94,No,No,No,28.01464462,1.693907028,ST3,0.9907,1,non,positive
SX38,J1-4,1701045,male,mfas,4,4.1,0.43,22.174,No,No,No,26.5310688,3.710362996,ST3,0.9964,1,non,positive
SX39,J1-53-1,16313,male,mfas,5,4.1,0.43,22.174,No,No,No,31.07635117,0.145499761,ST3,0.9982,1,non,positive
SX40,G31-SX,NA,female,mfas,4,3.2,0.4,20,No,Yes,No,24.6142807,17.5759153,ST3,0.9945,1,non,positive
SX41,G95-SX,16,female,mfas,5,3.6,0.4,22.5,No,Yes,No,24.40758324,43.97551725,ST3,0.9928,1,non,positive
SX42,G136-SX,16,female,mfas,5,3.2,0.4,20,No,Yes,No,22.38921928,143.2664165,ST3,0.9928,1,non,positive
SX43,G144-SX,17,male,mfas,4,3.4,0.43,18.388,No,No,No,21.46779633,83.66431405,ST3,0.991,1,non,positive
SX44,G68-SX,16,male,mfas,5,5.8,0.43,31.368,No,No,No,22.1935997,31.20149896,ST1,0.9758,1,non,positive
SX45,G84-SX,12,male,mfas,9,8,0.5,32,No,No,No,21.98033142,84.71528121,ST3,0.9926,1,non,positive
SX46,G103-SX,12,female,mfas,9,6,0.46,28.355,No,Yes,No,26.83224869,8.927836204,ST1,0.9829,1,non,positive
SX47,G145-SX,17,male,mfas,4,2.2,0.43,11.898,No,No,No,24.45566177,15.55602497,ST1,0.9554,1,non,positive
SX48,G5-SX,605023,male,mfas,15,6,0.5,24,No,No,No,24.30264664,12.32266457,ST3,0.9945,1,non,positive
SX49,G48-SX,NA,female,mfas,9,8.3,0.46,39.225,No,Yes,No,21.62259865,65.32356809,ST1,0.9866,1,non,positive
SX50,G74-SX,18,female,mfas,3,2.8,0.3,31.111,No,Yes,No,20.68589211,219.1828782,ST3,0.9945,1,non,positive
SX51,G87-SX,16,female,mfas,5,3.8,0.4,23.75,No,Yes,No,28.06400681,1.693990356,ST3,0.9927,1,non,positive
SX52,G94-SX,14,female,mfas,7,5.7,0.4,35.625,No,Yes,No,23.89318466,18.61563674,ST3,0.9945,1,non,positive
SX53,G100-SX,14,female,mfas,7,5.5,0.4,34.375,No,Yes,No,27.58752441,1.98288002,ST3,0.9964,1,non,positive
SX54,G50-SX,NA,female,mfas,5,3.4,0.4,21.25,No,Yes,No,18.3159523,619.8186885,ST1,1,1,non,positive
SX55,G85-SX,11,female,mfas,10,3.6,0.46,17.013,No,Yes,No,21.67919159,40.87974382,ST3,0.9945,1,non,positive
SX56,G97-SX,15,female,mfas,6,5.4,0.4,33.75,No,Yes,No,23.56087494,42.05689137,ST3,0.9946,1,non,positive
SX57,G149-SX,18,male,mfas,3,1.8,0.33,16.529,No,No,No,24.25073242,10.28439493,ST3,0.9945,1,non,positive
SX58,G3-SX,1511005,male,mfas,6,7.3,0.43,39.481,No,No,No,26.07488251,16.21725608,ST3,0.9963,1,non,positive
SX59,G92-SX,13,female,mfas,8,6.4,0.46,30.246,No,Yes,No,20.7184639,64.03029821,ST3,0.9945,1,non,positive
SX60,G12-SX,604089,male,mfas,15,7.2,0.5,28.8,No,No,No,25.56447792,5.033401663,ST3,0.955,1,non,positive
SX61,G45-SX,NA,female,mfas,5,4.1,0.4,25.625,No,Yes,No,26.81739807,1.989644963,ST3,0.9945,1,non,positive
SX62,G13-SX,704087,male,mfas,14,4.1,0.5,16.4,No,No,No,23.89817047,18.77712024,ST3,0.96,1,non,positive
