clade_name	MH106	MH107	MH108	MH109	MH110	MH111	MH112	MH113	MH114	MH115	MH116	MH117	MH118	MH119	MH120	MH121	MH122	MH123	MH124	MH125	MH126	MH127	MH128	MH129	MH130	MH131	MH132	MH133	SX100	SX101	SX102	SX103	SX104	SX105	SX10	SX12	SX134	SX135	SX136	SX137	SX138	SX139	SX13	SX140	SX141	SX142	SX14	SX15	SX16	SX17	SX18	SX19	SX1	SX20	SX21	SX22	SX23	SX24	SX25	SX26	SX27	SX28	SX29	SX2	SX30	SX31	SX32	SX33	SX34	SX35	SX36	SX37	SX38	SX39	SX3	SX40	SX41	SX42	SX43	SX44	SX45	SX46	SX47	SX48	SX49	SX4	SX50	SX51	SX52	SX53	SX54	SX55	SX56	SX57	SX58	SX59	SX5	SX60	SX61	SX62	SX63	SX64	SX65	SX66	SX67	SX68	SX69	SX6	SX70	SX71	SX73	SX74	SX75	SX76	SX77	SX78	SX79	SX7	SX80	SX81	SX82	SX83	SX84	SX85	SX86	SX87	SX88	SX89	SX8	SX90	SX91	SX92	SX93	SX94	SX95	SX96	SX97	SX98	SX99	SX9
k__Bacteria	99.78788	99.99665	100.0	100.0	97.75521	100.0	98.28449	99.26088	99.51242	98.26652	100.0	100.0	100.0	91.77679	99.89845	96.04355	100.0	100.0	100.0	99.99752	99.70003	99.66767	96.0105	93.48271	99.97494	99.23663	99.77608	100.0	99.92234	99.24281	100.0	99.82385	99.86994	100.0	99.70877	99.73938	100.0	98.48026	100.0	97.57263	99.95062	99.96727	99.99918	99.94458	99.99958	99.98221	100.0	100.0	98.73526	99.99511	99.99504	99.95689	99.83279	100.0	100.0	99.99183	99.96171	99.99932	100.0	100.0	100.0	99.81756	99.81349	99.56943	100.0	99.9651	99.99662	99.95334	99.98762	100.0	99.99008	99.99831	99.99857	99.98843	99.80281	100.0	99.37961	100.0	98.68083	99.81588	98.88451	100.0	99.8619	98.66525	99.85301	98.96954	98.56981	99.83383	99.64539	100.0	99.65193	98.96563	98.78571	99.9107	99.57785	97.79754	99.99422	99.62159	99.99124	99.31328	99.64345	99.98257	100.0	99.63797	99.98164	99.97277	98.84969	99.17686	98.8887	99.98769	99.92126	99.58351	99.73811	100.0	100.0	97.66585	99.46066	99.43041	96.81039	98.7961	100.0	97.09871	99.00558	100.0	98.80859	95.94045	99.82421	98.31335	99.98501	99.29562	99.37606	94.43607	99.9429	99.99423	99.22686	99.99088	99.99714	99.99895	100.0	99.97258
k__Archaea	0.21212	0.00335	0.0	0.0	2.24479	0.0	1.71551	0.73424	0.48758	1.73348	0.0	0.0	0.0	8.22321	0.10155	3.95439	0.0	0.0	0.0	0.00248	0.29997	0.33233	3.9895	6.46879	0.02506	0.76259	0.22392	0.0	0.07766	0.75719	0.0	0.17615	0.13006	0.0	0.29123	0.26062	0.0	1.51974	0.0	2.42737	0.04938	0.03273	0.0	0.05542	0.00042	0.01715	0.0	0.0	1.26474	0.00489	0.00496	0.04311	0.16721	0.0	0.0	0.00817	0.03829	0.00068	0.0	0.0	0.0	0.18244	0.18651	0.43057	0.0	0.0349	0.00338	0.04666	0.01238	0.0	0.00992	0.00169	0.00143	0.01157	0.19719	0.0	0.62039	0.0	1.31917	0.18412	1.11549	0.0	0.1381	1.33475	0.14699	1.03046	1.43019	0.16617	0.35461	0.0	0.33389	1.03437	1.21429	0.0893	0.42215	2.20246	0.00578	0.37841	0.00876	0.68672	0.35655	0.01743	0.0	0.36203	0.01836	0.02723	1.15031	0.82314	1.1113	0.01231	0.07874	0.41649	0.26189	0.0	0.0	2.33415	0.53934	0.56959	3.18961	1.2039	0.0	2.90129	0.96129	0.0	1.18995	4.0452	0.17579	1.68665	0.01499	0.70142	0.62394	5.54989	0.03455	0.00577	0.77314	0.00613	0.0	0.00069	0.0	0.02742
k__Bacteria|p__Firmicutes	85.07919	84.05096	84.01095	97.8432	71.49915	64.30666	77.97339	81.49521	74.74558	49.04438	52.04937	77.20247	70.24018	78.81382	75.92942	68.49568	84.57467	78.70292	85.19679	81.6706	82.36534	81.76682	80.81039	84.73282	49.63881	80.50058	68.98184	79.33616	71.25186	73.48474	92.81484	58.52235	74.51958	0.0314	72.61111	74.05693	56.31122	68.17087	85.42114	63.52272	63.65862	68.60663	94.34502	80.21469	87.26058	73.96828	83.21827	45.43782	54.53559	61.86019	68.0987	83.65128	71.5624	94.89684	60.40931	70.25812	92.55173	81.00209	89.13547	97.06669	85.59169	82.32932	93.73278	65.50034	94.02003	55.48257	86.34606	81.44879	66.66918	71.70954	83.12759	91.34782	80.43655	77.11872	47.76747	58.42826	70.81093	77.14646	62.77757	67.03957	63.30673	65.1374	67.41777	67.72407	64.98624	65.49059	64.32963	72.7955	71.19714	82.07164	61.07601	68.93227	59.29357	64.58436	63.72954	80.03475	89.14925	65.33868	84.02071	59.95476	73.23707	57.412	72.41267	81.22135	94.45629	68.94884	69.08805	68.21879	59.55603	52.12824	62.34224	80.17963	72.52443	66.15747	86.51463	75.99933	66.27817	59.26197	58.64102	79.56422	67.9288	69.72921	68.26052	50.8926	72.34515	51.43144	89.70444	77.13541	55.08769	90.40073	74.26072	65.8955	66.88509	61.49478	87.47077	74.97657	74.27198	69.16336	86.80412	66.48362
k__Bacteria|p__Bacteroidetes	11.65178	15.46567	15.30363	1.31587	20.37413	34.29331	17.46799	10.26178	21.23364	45.86441	45.60007	20.77625	28.08949	7.06431	18.26142	22.5533	14.7844	20.87251	14.09764	17.30569	16.01611	16.70149	12.36146	3.63055	49.68427	13.10266	29.18081	19.96362	25.78111	19.42697	6.23535	36.67454	18.93788	0.0	25.24605	23.43431	43.16939	28.39692	12.28193	30.99268	34.5263	23.15333	4.66901	16.18633	11.18405	23.66664	11.81017	4.09642	39.62029	37.07534	29.49914	12.05569	23.03698	3.9189	35.7492	27.61968	3.71626	16.66014	8.45698	2.77761	12.56555	15.35305	4.78841	32.08174	5.0047	43.28816	12.91535	15.83361	27.98781	26.60552	12.78428	8.1327	17.94716	20.53626	46.82304	38.27164	26.8613	19.91015	30.67814	30.54252	33.24499	34.44773	28.26953	29.08051	33.09723	28.25916	30.86801	23.3875	24.32639	15.89176	34.64692	25.037	32.17252	28.71777	33.1235	15.62682	9.4255	29.14154	14.42657	36.7765	24.21988	40.29211	25.21711	15.56646	1.93888	28.12864	27.25594	27.53286	37.93413	46.50906	35.38259	17.3425	23.58894	31.85481	10.40772	14.95037	28.39322	38.17833	33.15793	16.69332	30.26397	23.40565	27.77219	45.56393	22.79472	29.25338	8.02865	15.80704	41.41388	3.37892	22.24698	25.17384	27.11408	36.44514	8.95227	23.45974	24.05671	28.52613	11.11075	28.62889
k__Bacteria|p__Spirochaetes	2.0047	0.04548	0.08141	0.23892	4.27069	0.08742	0.2034	4.80447	1.04233	0.75546	0.0	0.16357	0.11467	3.95924	4.28197	1.64734	0.06392	0.0169	0.0603	0.21204	0.08184	0.71162	0.86698	2.26034	0.09426	1.46686	0.11922	0.0703	0.92726	1.06365	0.50928	1.90628	3.97939	0.0	0.31243	0.36912	0.0223	0.14685	0.4697	1.47037	0.05943	0.06816	0.56522	0.09347	0.0162	0.76401	3.46787	0.0	2.72376	0.01793	0.90297	0.00615	2.88466	0.22252	2.61932	0.18517	0.15509	0.10668	0.2241	0.00022	0.05201	0.8344	0.37252	0.33509	0.11685	0.18756	0.09556	0.11277	0.44439	0.46118	0.11156	0.08925	0.28916	0.13464	3.70937	0.43729	0.7205	0.91683	2.43158	0.90089	0.69282	0.0	2.21195	0.39257	0.69998	2.31814	1.03354	1.30934	1.00473	1.42605	0.49212	3.8692	4.08745	0.79308	0.60062	0.17023	0.29214	1.70388	0.40561	0.78068	0.25351	0.19651	1.74066	0.30957	0.08569	0.09478	0.14476	1.95043	0.06339	0.04858	0.48203	0.81332	0.19877	1.17108	0.24611	4.49835	0.52326	0.38168	1.64012	0.18724	0.62537	0.46161	0.52742	2.48814	0.63503	7.93605	0.26358	1.74169	1.92896	0.01124	0.26189	0.90451	1.64209	0.63549	0.31933	0.57272	0.68209	0.61495	1.58234	1.72623
k__Bacteria|p__Candidatus_Melainabacteria	0.71867	0.0	0.00213	0.0	0.08965	0.0	0.15693	0.00194	0.01264	0.00438	0.0	0.00351	0.1434	0.17265	0.12275	0.0	0.00367	0.00914	0.00199	0.00982	0.02792	0.0	0.01125	0.50747	0.0	0.42078	0.17312	0.00173	0.08502	0.01431	0.03832	0.01016	0.86748	0.0	0.0045	0.2232	0.0	0.11941	0.21512	0.00697	0.0	0.0	0.00368	0.0	0.00664	0.0	0.0144	0.0	0.1369	0.0	0.07975	0.00431	0.63191	0.0	0.01372	0.09291	0.0	0.05532	0.0	0.0	0.02413	0.0	0.0523	0.04755	0.00338	0.31827	0.0352	0.00025	0.07193	0.0	0.06447	0.01604	0.00019	0.0635	0.06731	0.0	0.10348	0.03125	0.38561	0.03982	0.08696	0.0	0.27105	0.04576	0.03853	0.25179	0.0402	0.16192	0.0	0.0035	0.01806	0.0	0.01833	0.06537	0.01303	0.44877	0.0	0.0	0.04828	0.01295	0.29194	0.11202	0.24249	0.30139	0.0	0.20504	0.0	0.06111	0.0136	0.0	0.04061	0.32558	0.01198	0.05436	0.01859	0.4709	0.07006	0.00987	0.07185	0.0	0.002	1.02466	0.0	0.0	0.38261	0.01574	0.01935	0.11605	0.03276	2.14705	0.00633	0.0	0.01403	0.0	0.04127	0.01841	0.00158	0.36856	0.02128	0.00614
k__Bacteria|p__Actinobacteria	0.22463	0.22495	0.42688	0.40902	0.36327	0.5759	0.32751	0.70654	0.34373	0.98777	0.48034	0.34454	0.4902	0.532	0.72634	0.69214	0.34722	0.23507	0.60093	0.38837	0.22465	0.2326	0.54303	0.22162	0.33891	2.51252	0.88026	0.41252	0.24567	0.1904	0.26599	0.13723	0.94242	0.0	0.70239	0.34639	0.41334	1.24994	1.15801	0.42435	1.07773	1.33479	0.1759	2.64437	1.23976	0.80128	1.21332	1.13421	0.133	0.65435	0.71626	1.7128	0.71191	0.54631	0.60922	0.3711	0.41749	0.77676	1.41956	0.05234	0.42404	0.21386	0.3137	0.79511	0.59819	0.24445	0.30741	0.89411	0.73117	0.61793	0.67984	0.14595	0.16744	0.55723	0.32423	0.36326	0.32941	0.45228	0.31228	0.82595	0.19664	0.25887	0.16768	0.64151	0.63555	0.63135	0.21532	1.84427	0.79317	0.28718	0.30085	0.70702	0.19209	1.25781	0.07043	0.60587	0.8811	1.02294	0.35441	0.6579	0.27116	0.24133	0.1924	0.90247	3.14304	1.64818	0.32514	0.42838	0.5821	0.55225	1.01054	0.36314	0.96717	0.53413	2.23277	0.1615	0.55233	0.84194	0.19547	1.46151	0.27325	1.5698	0.12169	0.54362	0.42411	0.07865	0.28454	0.28923	0.49453	1.69268	0.1322	0.63161	2.80869	0.72356	0.80147	0.3433	0.35105	0.57531	0.26163	0.60177
k__Archaea|p__Euryarchaeota	0.19265	0.00335	0.0	0.0	2.19053	0.0	1.63883	0.72814	0.43398	1.7171	0.0	0.0	0.0	8.14087	0.04968	3.84228	0.0	0.0	0.0	0.00248	0.29206	0.33233	3.93309	6.27723	0.02506	0.76259	0.22392	0.0	0.0	0.68974	0.0	0.13147	0.09931	0.0	0.26608	0.21016	0.0	1.51974	0.0	2.38382	0.04938	0.03273	0.0	0.05318	0.00042	0.01715	0.0	0.0	1.18547	0.00273	0.00496	0.04311	0.11509	0.0	0.0	0.00817	0.03809	0.00068	0.0	0.0	0.0	0.16462	0.18651	0.37783	0.0	0.0	0.00338	0.04666	0.01238	0.0	0.00992	0.00169	0.00143	0.01157	0.14821	0.0	0.60486	0.0	1.28341	0.17161	1.06447	0.0	0.11746	1.33475	0.14195	0.96085	1.35962	0.12547	0.35453	0.0	0.33389	0.95011	1.16014	0.06982	0.3727	2.12413	0.0	0.37841	0.00876	0.6708	0.34688	0.0031	0.0	0.31494	0.01836	0.02723	1.08649	0.80667	1.1113	0.01231	0.05129	0.38529	0.2581	0.0	0.0	2.25992	0.50404	0.56664	3.11276	1.2039	0.0	2.84235	0.90453	0.0	0.97892	3.8453	0.17579	1.61147	0.0	0.66591	0.55497	5.21291	0.03455	0.00412	0.76184	0.0	0.0	0.00061	0.0	0.02492
k__Bacteria|p__Proteobacteria	0.0859	0.20828	0.15139	0.19045	0.76007	0.41268	1.22699	1.47206	1.17906	1.27237	1.83015	0.28054	0.77172	0.53225	0.38632	2.10063	0.15165	0.15785	0.03932	0.25699	0.58541	0.17298	1.30438	0.45348	0.17542	1.17244	0.35659	0.19619	0.90999	0.1484	0.12791	0.71116	0.40571	99.9686	0.55236	1.06545	0.08374	0.38718	0.44747	0.87993	0.62853	6.79611	0.17517	0.80572	0.29208	0.77243	0.27506	49.25142	0.64363	0.38543	0.68969	2.5134	0.89359	0.40829	0.59276	0.10969	0.21506	0.73789	0.68379	0.10314	0.12749	0.2135	0.1325	0.46232	0.25307	0.15683	0.13117	0.03707	0.40375	0.12777	0.26141	0.1064	0.16752	0.35663	0.55707	2.48913	0.42674	0.37408	1.81072	0.29551	0.87553	0.15599	1.45365	0.45375	0.37846	1.47286	2.04491	0.20122	0.80275	0.27294	3.05144	0.22916	0.9346	2.18064	1.88927	0.78673	0.23294	0.19764	0.73487	0.39753	1.08488	1.12597	0.18848	1.00451	0.33778	0.90461	1.89925	0.15436	0.73946	0.73027	0.43772	0.49375	1.9167	0.19909	0.16125	1.01789	2.77115	0.29521	1.67334	0.8847	0.89433	0.85223	1.95038	0.45325	1.91472	4.00246	1.52364	1.64902	0.66535	1.09238	2.04856	1.68484	1.3635	0.38823	0.72655	0.53096	0.45074	0.49294	0.21087	0.18151
k__Bacteria|p__Kiritimatiellaeota	0.023	0.0	0.0	0.00192	0.1945	0.0089	0.17265	0.19186	0.01631	0.01987	0.0	0.0	0.00085	0.22303	0.12012	0.06965	0.0	0.0	0.0	0.01287	0.01236	0.08142	0.03876	1.46893	0.04327	0.03576	0.0	0.0	0.05409	0.04674	0.00774	0.03499	0.16672	0.0	0.03177	0.00175	0.0	0.0	0.0	0.00042	0.0	0.0	0.00715	0.0	0.0	0.00502	0.0	0.0	0.0164	0.0	0.0	0.01326	0.02224	0.00714	0.0	0.0	0.00244	0.0	0.0	0.0	0.00088	0.01389	0.04177	0.06785	0.0	0.0	0.0	0.0	0.01345	0.0	0.02097	0.0	0.00042	0.0	0.07328	0.01041	0.00053	0.00651	0.27644	0.00847	0.02981	0.0	0.00931	0.01272	0.01291	0.07434	0.01437	0.00452	0.00337	0.0	0.02441	0.07673	0.0185	0.03898	0.08892	0.1174	0.01329	0.0	0.00078	0.00978	0.0579	0.00353	0.0062	0.02888	0.0	0.01951	0.08831	0.00247	0.0	0.01868	0.03315	0.06558	0.0015	0.00098	0.0	0.16778	0.03385	0.01846	0.34478	0.00184	0.01229	0.02312	0.19568	0.0	0.07158	0.12173	0.0	0.04121	0.04978	0.00645	0.1507	0.11944	0.0	0.0	0.0	0.0	0.04661	0.07688	0.00521	0.01268
