clade_name	clade_taxid	SX9	SX99	SX98	SX97	SX96	SX95	SX94	SX93	SX92	SX91	SX90	SX8	SX89	SX88	SX87	SX86	SX85	SX84	SX83	SX82	SX81	SX80	SX7	SX79	SX78	SX77	SX76	SX75	SX74	SX73	SX71	SX70	SX6	SX69	SX68	SX67	SX66	SX65	SX64	SX63	SX62	SX61	SX60	SX5	SX59	SX58	SX57	SX56	SX55	SX54	SX53	SX52	SX51	SX50	SX4	SX49	SX48	SX47	SX46	SX45	SX44	SX43	SX42	SX41	SX40	SX3	SX39	SX38	SX37	SX36	SX35	SX34	SX33	SX32	SX31	SX30	SX2	SX29	SX28	SX27	SX26	SX25	SX24	SX23	SX22	SX21	SX20	SX1	SX19	SX18	SX17	SX16	SX15	SX14	SX142	SX141	SX140	SX13	SX139	SX138	SX137	SX136	SX135	SX134	SX12	SX10	SX105	SX104	SX103	SX102	SX101	SX100	MH133	MH132	MH131	MH130	MH129	MH128	MH127	MH126	MH125	MH124	MH123	MH122	MH121	MH120	MH119	MH118	MH117	MH116	MH115	MH114	MH113	MH112	MH111	MH110	MH109	MH108	MH107	MH106
k__Archaea	2157	5245.0	0	114.0	0	658.0	133292.0	928.0	5665.0	777081.0	110727.0	116343.0	1922.0	297425.0	41206.0	833554.0	218079.0	0	186950.0	523754.0	0	236823.0	673605.0	126893.0	108613.0	570434.0	0	0	48819.0	92010.0	12852.0	2417.0	202961.0	157918.0	205612.0	5562.0	4392.0	68350.0	0	2503.0	72850.0	122289.0	1992.0	70257.0	901.0	419073.0	86771.0	18353.0	244174.0	212287.0	76807.0	0	67374.0	30751.0	255057.0	221662.0	33249.0	329033.0	28971.0	0	238238.0	38918.0	293463.0	0	166938.0	0	44449.0	2040.0	397.0	435.0	2616.0	0	2431.0	11115.0	848.0	6897.0	0	80489.0	50218.0	40684.0	0	0	0	121.0	9228.0	1510.0	0	0	34564.0	7574.0	858.0	978.0	234347.0	0	0	2622.0	81.0	11423.0	0	5388.0	8366.0	544459.0	0	418762.0	0	49917.0	63677.0	0	18408.0	33629.0	0	160650.0	11991.0	0	35942.0	117515.0	5000.0	1153387.0	754045.0	65876.0	71425.0	565.0	0	0	0	787693.0	17410.0	1705865.0	0	0	0	344095.0	102136.0	132558.0	376397.0	0	423351.0	0	0	839.0	40671.0
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	366.0	0	11.0	0	658.0	1426.0	204.0	0	36156.0	9504.0	4217.0	1922.0	10119.0	0	29678.0	30523.0	0	8011.0	8024.0	0	0	11615.0	490.0	5280.0	13801.0	0	0	507.0	5094.0	3698.0	0	0	2390.0	8698.0	0	0	6932.0	0	1990.0	1423.0	2080.0	0	0	901.0	11350.0	7424.0	3842.0	8254.0	12927.0	0	0	16.0	6192.0	9589.0	11059.0	868.0	0	3202.0	0	8318.0	2029.0	6034.0	0	3070.0	0	8579.0	0	0	0	0	0	0	0	0	6897.0	0	7655.0	0	3001.0	0	0	0	0	35.0	0	0	0	8834.0	0	0	427.0	10592.0	0	0	0	0	439.0	0	0	0	6990.0	0	0	0	7267.0	4240.0	0	3701.0	6726.0	0	11044.0	11991.0	0	0	0	0	26004.0	8076.0	0	1432.0	0	0	0	0	16982.0	7674.0	12926.0	0	0	0	2437.0	8708.0	834.0	12841.0	0	7737.0	0	0	0	2882.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	366.0	0	11.0	0	658.0	1426.0	204.0	0	36156.0	9504.0	4217.0	1922.0	10119.0	0	29678.0	30523.0	0	8011.0	8024.0	0	0	11615.0	490.0	5280.0	13801.0	0	0	507.0	5094.0	3698.0	0	0	2390.0	8698.0	0	0	6932.0	0	1990.0	1423.0	2080.0	0	0	901.0	11350.0	7424.0	3842.0	8254.0	12927.0	0	0	16.0	6192.0	9589.0	11059.0	868.0	0	3202.0	0	8318.0	2029.0	6034.0	0	3070.0	0	8579.0	0	0	0	0	0	0	0	0	6897.0	0	7655.0	0	3001.0	0	0	0	0	35.0	0	0	0	8834.0	0	0	427.0	10592.0	0	0	0	0	439.0	0	0	0	6990.0	0	0	0	7267.0	4240.0	0	3701.0	6726.0	0	11044.0	11991.0	0	0	0	0	26004.0	8076.0	0	1432.0	0	0	0	0	16982.0	7674.0	12926.0	0	0	0	2437.0	8708.0	834.0	12841.0	0	7737.0	0	0	0	2882.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|2283796|183967|1235850	366.0	0	11.0	0	658.0	1426.0	204.0	0	36156.0	9504.0	4217.0	1922.0	10119.0	0	29678.0	30523.0	0	8011.0	8024.0	0	0	11615.0	490.0	5280.0	13801.0	0	0	507.0	5094.0	3698.0	0	0	2390.0	8698.0	0	0	6932.0	0	1990.0	1423.0	2080.0	0	0	901.0	11350.0	7424.0	3842.0	8254.0	12927.0	0	0	16.0	6192.0	9589.0	11059.0	868.0	0	3202.0	0	8318.0	2029.0	6034.0	0	3070.0	0	8579.0	0	0	0	0	0	0	0	0	6897.0	0	7655.0	0	3001.0	0	0	0	0	35.0	0	0	0	8834.0	0	0	427.0	10592.0	0	0	0	0	439.0	0	0	0	6990.0	0	0	0	7267.0	4240.0	0	3701.0	6726.0	0	11044.0	11991.0	0	0	0	0	26004.0	8076.0	0	1432.0	0	0	0	0	16982.0	7674.0	12926.0	0	0	0	2437.0	8708.0	834.0	12841.0	0	7737.0	0	0	0	2882.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae	2157|2283796|183967|1235850|2517203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	519.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3842.0	425.0	479.0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6897.0	0	0	0	0	0	0	0	0	0	0	0	0	1916.0	0	0	427.0	0	0	0	0	0	439.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus	2157|2283796|183967|1235850|2517203|1291539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	519.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3842.0	425.0	479.0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6897.0	0	0	0	0	0	0	0	0	0	0	0	0	1916.0	0	0	427.0	0	0	0	0	0	439.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus	2157|2283796|183967|1235850|2517203|1291539|1291540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	519.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3842.0	425.0	479.0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6897.0	0	0	0	0	0	0	0	0	0	0	0	0	1916.0	0	0	427.0	0	0	0	0	0	439.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus|s__Candidatus_Methanomethylophilus_alvus|t__SGB385	2157|2283796|183967|1235850|2517203|1291539|1291540|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	519.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3842.0	425.0	479.0	0	0	16.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6897.0	0	0	0	0	0	0	0	0	0	0	0	0	1916.0	0	0	427.0	0	0	0	0	0	439.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified	2157|2283796|183967|1235850|	366.0	0	11.0	0	658.0	1426.0	204.0	0	36156.0	9504.0	4217.0	1922.0	10119.0	0	29539.0	30523.0	0	8011.0	8024.0	0	0	11615.0	490.0	5280.0	13801.0	0	0	507.0	4575.0	3698.0	0	0	2390.0	8698.0	0	0	6932.0	0	1990.0	1423.0	2080.0	0	0	901.0	11350.0	7424.0	0	7829.0	12448.0	0	0	0	6192.0	9589.0	11059.0	868.0	0	3202.0	0	8318.0	2029.0	6034.0	0	3070.0	0	8579.0	0	0	0	0	0	0	0	0	0	0	7655.0	0	3001.0	0	0	0	0	35.0	0	0	0	6918.0	0	0	0	10592.0	0	0	0	0	0	0	0	0	6990.0	0	0	0	7267.0	4240.0	0	3701.0	6726.0	0	11044.0	11991.0	0	0	0	0	25867.0	8076.0	0	1432.0	0	0	0	0	16982.0	7674.0	12926.0	0	0	0	2437.0	8708.0	834.0	12841.0	0	7737.0	0	0	0	2882.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified	2157|2283796|183967|1235850||	366.0	0	11.0	0	658.0	1426.0	204.0	0	36156.0	9504.0	4217.0	1922.0	10119.0	0	29539.0	30523.0	0	8011.0	8024.0	0	0	11615.0	490.0	5280.0	13801.0	0	0	507.0	4575.0	3698.0	0	0	2390.0	8698.0	0	0	6932.0	0	1990.0	1423.0	2080.0	0	0	901.0	11350.0	7424.0	0	7829.0	12448.0	0	0	0	6192.0	9589.0	11059.0	868.0	0	3202.0	0	8318.0	2029.0	6034.0	0	3070.0	0	8579.0	0	0	0	0	0	0	0	0	0	0	7655.0	0	3001.0	0	0	0	0	35.0	0	0	0	6918.0	0	0	0	10592.0	0	0	0	0	0	0	0	0	6990.0	0	0	0	7267.0	4240.0	0	3701.0	6726.0	0	11044.0	11991.0	0	0	0	0	25867.0	8076.0	0	1432.0	0	0	0	0	16982.0	7674.0	12926.0	0	0	0	2437.0	8708.0	834.0	12841.0	0	7737.0	0	0	0	2882.0
